time,restday
2016/7/1,0
2016/7/2,1
2016/7/3,1
2016/7/4,0
2016/7/5,0
2016/7/6,0
2016/7/7,0
2016/7/8,0
2016/7/9,1
2016/7/10,1
2016/7/11,0
2016/7/12,0
2016/7/13,0
2016/7/14,0
2016/7/15,0
2016/7/16,1
2016/7/17,1
2016/7/18,0
2016/7/19,0
2016/7/20,0
2016/7/21,0
2016/7/22,0
2016/7/23,1
2016/7/24,1
2016/7/25,0
2016/7/26,0
2016/7/27,0
2016/7/28,0
2016/7/29,0
2016/7/30,1
2016/7/31,1
2016/8/1,0
2016/8/2,0
2016/8/3,0
2016/8/4,0
2016/8/5,0
2016/8/6,1
2016/8/7,1
2016/8/8,0
2016/8/9,0
2016/8/10,0
2016/8/11,0
2016/8/12,0
2016/8/13,1
2016/8/14,1
2016/8/15,0
2016/8/16,0
2016/8/17,0
2016/8/18,0
2016/8/19,0
2016/8/20,1
2016/8/21,1
2016/8/22,0
2016/8/23,0
2016/8/24,0
2016/8/25,0
2016/8/26,0
2016/8/27,1
2016/8/28,1
2016/8/29,0
2016/8/30,0
2016/8/31,0
2016/9/1,0
2016/9/2,0
2016/9/3,1
2016/9/4,1
2016/9/5,0
2016/9/6,0
2016/9/7,0
2016/9/8,0
2016/9/9,0
2016/9/10,1
2016/9/11,1
2016/9/12,0
2016/9/13,0
2016/9/14,0
2016/9/15,1
2016/9/16,1
2016/9/17,1
2016/9/18,0
2016/9/19,0
2016/9/20,0
2016/9/21,0
2016/9/22,0
2016/9/23,0
2016/9/24,1
2016/9/25,1
2016/9/26,0
2016/9/27,0
2016/9/28,0
2016/9/29,0
2016/9/30,0
